# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:50:09 2024 
# file:  ex5.16_nox.WLS.out 

    lhs  op rhs group        type    lav    mpl delta
185  u1   |  t1     1 est.std.nox -0.642 -0.642 0.000
186  u2   |  t1     1 est.std.nox -0.379 -0.379 0.000
187  u4   |  t1     1 est.std.nox -0.016 -0.016 0.000
188  u5   |  t1     1 est.std.nox  0.126  0.126 0.000
189  u6   |  t1     1 est.std.nox  0.328  0.328 0.000
190  f1  ~~  f1     1 est.std.nox  1.000  1.000 0.000
191  f2  ~~  f2     1 est.std.nox  1.000  1.000 0.000
192  f1  ~~  f2     1 est.std.nox  0.601  0.601 0.000
193  u1 ~*~  u1     1 est.std.nox  1.000  1.000 0.000
194  u2 ~*~  u2     1 est.std.nox  1.000  1.000 0.000
195  u4 ~*~  u4     1 est.std.nox  1.000  1.000 0.000
196  u5 ~*~  u5     1 est.std.nox  1.000  1.000 0.000
197  u6 ~*~  u6     1 est.std.nox  1.000  1.000 0.000
198  f1  =~  u1     2 est.std.nox  0.941  0.941 0.000
199  f1  =~  u2     2 est.std.nox  0.925  0.925 0.000
200  f1  =~  u3     2 est.std.nox  0.700  0.700 0.000
201  f2  =~  u4     2 est.std.nox  0.933  0.933 0.000
202  f2  =~  u5     2 est.std.nox  0.944  0.944 0.000
203  f2  =~  u6     2 est.std.nox  0.924  0.924 0.000
204  u3   |  t1     2 est.std.nox  0.375  0.375 0.000
205  u3 ~*~  u3     2 est.std.nox  1.000  1.000 0.000
206  u1   |  t1     2 est.std.nox -0.783 -0.783 0.000
207  u2   |  t1     2 est.std.nox -0.474 -0.474 0.000
208  u4   |  t1     2 est.std.nox -0.015 -0.015 0.000
209  u5   |  t1     2 est.std.nox  0.117  0.117 0.000
210  u6   |  t1     2 est.std.nox  0.299  0.299 0.000
211  f1  ~~  f1     2 est.std.nox  1.000  1.000 0.000
212  f2  ~~  f2     2 est.std.nox  1.000  1.000 0.000
213  f1  ~~  f2     2 est.std.nox  0.604  0.604 0.000
214  u1 ~*~  u1     2 est.std.nox  1.000  1.000 0.000
215  u2 ~*~  u2     2 est.std.nox  1.000  1.000 0.000
216  u4 ~*~  u4     2 est.std.nox  1.000  1.000 0.000
217  u5 ~*~  u5     2 est.std.nox  1.000  1.000 0.000
218  u6 ~*~  u6     2 est.std.nox  1.000  1.000 0.000
219  f1  ~1         2 est.std.nox -0.188 -0.188 0.000
220  f2  ~1         2 est.std.nox -0.056 -0.056 0.000

                     fit       lav       mpl   delta
1                   npar    25.000    25.000   0.000
2                   fmin     0.003        NA      NA
3                  chisq    11.609    11.620  -0.011
4                     df    17.000    17.000   0.000
5                 pvalue     0.823     0.823   0.000
6         baseline.chisq 13170.162 13182.212 -12.050
7            baseline.df    30.000    30.000   0.000
8        baseline.pvalue     0.000     0.000   0.000
9                    cfi     1.000     1.000   0.000
10                   tli     1.001     1.001   0.000
11                  nnfi     1.001        NA      NA
12                   rfi     0.998        NA      NA
13                   nfi     0.999        NA      NA
14                  pnfi     0.566        NA      NA
15                   ifi     1.000        NA      NA
16                   rni     1.000        NA      NA
17                 rmsea     0.000     0.000   0.000
18        rmsea.ci.lower     0.000     0.000   0.000
19        rmsea.ci.upper     0.017     0.017   0.000
20        rmsea.ci.level     0.900        NA      NA
21          rmsea.pvalue     1.000     1.000   0.000
22        rmsea.close.h0     0.050        NA      NA
23 rmsea.notclose.pvalue     0.000        NA      NA
24     rmsea.notclose.h0     0.080        NA      NA
25                   rmr     0.011        NA      NA
26            rmr_nomean     0.013        NA      NA
27          srmr_bentler     0.011        NA      NA
28   srmr_bentler_nomean     0.013        NA      NA
29                  crmr     0.013        NA      NA
30           crmr_nomean     0.015        NA      NA
31            srmr_mplus        NA        NA      NA
32     srmr_mplus_nomean        NA        NA      NA
33                 cn_05  5224.128        NA      NA
34                 cn_01  6326.335        NA      NA
35                   gfi     0.999        NA      NA
36                  agfi     0.998        NA      NA
37                  pgfi     0.404        NA      NA
38                   mfi     1.001        NA      NA
39                  wrmr     0.744        NA      NA
