# lavaan TESTsuite -- lavaan version  0.6-18 
# date:  Wed Jan 17 15:23:08 2024 
# file:  HS.multi.nomean.ML.expected.out 

        lhs op     rhs group        type   lav   mpl delta
83       x2 ~~      x2     2          se 0.123 0.123     0
84       x3 ~~      x3     2          se 0.103 0.103     0
85       x4 ~~      x4     2          se 0.065 0.065     0
86       x5 ~~      x5     2          se 0.072 0.072     0
87       x6 ~~      x6     2          se 0.069 0.069     0
88       x7 ~~      x7     2          se 0.091 0.091     0
89       x8 ~~      x8     2          se 0.094 0.094     0
90       x9 ~~      x9     2          se 0.089 0.089     0
91   visual ~~  visual     2          se 0.160 0.160     0
92  textual ~~ textual     2          se 0.152 0.152     0
93    speed ~~   speed     2          se 0.118 0.118     0
94   visual ~~ textual     2          se 0.098 0.098     0
95   visual ~~   speed     2          se 0.076 0.076     0
96  textual ~~   speed     2          se 0.073 0.073     0
97   visual =~      x1     1     est.std 1.047 1.047     0
98   visual =~      x2     1     est.std 0.412 0.412     0
99   visual =~      x3     1     est.std 0.597 0.597     0
100 textual =~      x4     1     est.std 0.946 0.946     0
101 textual =~      x5     1     est.std 1.119 1.119     0
102 textual =~      x6     1     est.std 0.827 0.827     0
103   speed =~      x7     1     est.std 0.591 0.591     0
104   speed =~      x8     1     est.std 0.665 0.665     0
105   speed =~      x9     1     est.std 0.545 0.545     0
106      x1 ~~      x1     1     est.std 0.298 0.298     0
107      x2 ~~      x2     1     est.std 1.334 1.334     0
108      x3 ~~      x3     1     est.std 0.989 0.989     0
109      x4 ~~      x4     1     est.std 0.425 0.425     0
110      x5 ~~      x5     1     est.std 0.456 0.456     0
111      x6 ~~      x6     1     est.std 0.290 0.290     0
112      x7 ~~      x7     1     est.std 0.820 0.820     0
113      x8 ~~      x8     1     est.std 0.510 0.510     0
114      x9 ~~      x9     1     est.std 0.680 0.680     0
115  visual ~~  visual     1     est.std 1.000 1.000     0
116 textual ~~ textual     1     est.std 1.000 1.000     0
117   speed ~~   speed     1     est.std 1.000 1.000     0
118  visual ~~ textual     1     est.std 0.484 0.484     0
119  visual ~~   speed     1     est.std 0.299 0.299     0
120 textual ~~   speed     1     est.std 0.325 0.325     0
121  visual =~      x1     2     est.std 0.777 0.777     0
122  visual =~      x2     2     est.std 0.572 0.572     0
123  visual =~      x3     2     est.std 0.719 0.719     0
124 textual =~      x4     2     est.std 0.971 0.971     0
125 textual =~      x5     2     est.std 0.961 0.961     0
126 textual =~      x6     2     est.std 0.935 0.935     0
127   speed =~      x7     2     est.std 0.679 0.679     0
128   speed =~      x8     2     est.std 0.833 0.833     0
129   speed =~      x9     2     est.std 0.719 0.719     0
130      x1 ~~      x1     2     est.std 0.715 0.715     0
131      x2 ~~      x2     2     est.std 0.899 0.899     0
132      x3 ~~      x3     2     est.std 0.557 0.557     0
133      x4 ~~      x4     2     est.std 0.315 0.315     0
134      x5 ~~      x5     2     est.std 0.419 0.419     0
135      x6 ~~      x6     2     est.std 0.406 0.406     0
136      x7 ~~      x7     2     est.std 0.600 0.600     0
137      x8 ~~      x8     2     est.std 0.401 0.401     0
138      x9 ~~      x9     2     est.std 0.535 0.535     0
139  visual ~~  visual     2     est.std 1.000 1.000     0
140 textual ~~ textual     2     est.std 1.000 1.000     0
141   speed ~~   speed     2     est.std 1.000 1.000     0
142  visual ~~ textual     2     est.std 0.541 0.541     0
143  visual ~~   speed     2     est.std 0.523 0.523     0
144 textual ~~   speed     2     est.std 0.336 0.336     0
145  visual =~      x1     1 est.std.all 0.887 0.887     0
146  visual =~      x2     1 est.std.all 0.336 0.336     0
147  visual =~      x3     1 est.std.all 0.515 0.515     0
148 textual =~      x4     1 est.std.all 0.823 0.823     0
149 textual =~      x5     1 est.std.all 0.856 0.856     0
150 textual =~      x6     1 est.std.all 0.838 0.838     0
151   speed =~      x7     1 est.std.all 0.547 0.547     0
152   speed =~      x8     1 est.std.all 0.682 0.682     0
153   speed =~      x9     1 est.std.all 0.551 0.551     0
154      x1 ~~      x1     1 est.std.all 0.214 0.214     0
155      x2 ~~      x2     1 est.std.all 0.887 0.887     0
156      x3 ~~      x3     1 est.std.all 0.735 0.735     0
157      x4 ~~      x4     1 est.std.all 0.322 0.322     0
158      x5 ~~      x5     1 est.std.all 0.267 0.267     0
159      x6 ~~      x6     1 est.std.all 0.297 0.297     0
160      x7 ~~      x7     1 est.std.all 0.701 0.701     0
161      x8 ~~      x8     1 est.std.all 0.535 0.535     0
162      x9 ~~      x9     1 est.std.all 0.696 0.696     0
163  visual ~~  visual     1 est.std.all 1.000 1.000     0
164 textual ~~ textual     1 est.std.all 1.000 1.000     0
165   speed ~~   speed     1 est.std.all 1.000 1.000     0
166  visual ~~ textual     1 est.std.all 0.484 0.484     0
167  visual ~~   speed     1 est.std.all 0.299 0.299     0
168 textual ~~   speed     1 est.std.all 0.325 0.325     0
169  visual =~      x1     2 est.std.all 0.677 0.677     0
170  visual =~      x2     2 est.std.all 0.517 0.517     0
171  visual =~      x3     2 est.std.all 0.694 0.694     0
172 textual =~      x4     2 est.std.all 0.866 0.866     0
173 textual =~      x5     2 est.std.all 0.829 0.829     0
174 textual =~      x6     2 est.std.all 0.826 0.826     0
175   speed =~      x7     2 est.std.all 0.659 0.659     0
176   speed =~      x8     2 est.std.all 0.796 0.796     0
177   speed =~      x9     2 est.std.all 0.701 0.701     0
178      x1 ~~      x1     2 est.std.all 0.542 0.542     0
179      x2 ~~      x2     2 est.std.all 0.733 0.733     0
180      x3 ~~      x3     2 est.std.all 0.519 0.519     0
181      x4 ~~      x4     2 est.std.all 0.251 0.251     0
182      x5 ~~      x5     2 est.std.all 0.312 0.312     0
183      x6 ~~      x6     2 est.std.all 0.317 0.317     0
184      x7 ~~      x7     2 est.std.all 0.566 0.566     0
185      x8 ~~      x8     2 est.std.all 0.367 0.367     0
186      x9 ~~      x9     2 est.std.all 0.509 0.509     0
187  visual ~~  visual     2 est.std.all 1.000 1.000     0
188 textual ~~ textual     2 est.std.all 1.000 1.000     0
189   speed ~~   speed     2 est.std.all 1.000 1.000     0
190  visual ~~ textual     2 est.std.all 0.541 0.541     0
191  visual ~~   speed     2 est.std.all 0.523 0.523     0
192 textual ~~   speed     2 est.std.all 0.336 0.336     0
193  visual =~      x1     1 est.std.nox 0.887 0.887     0
194  visual =~      x2     1 est.std.nox 0.336 0.336     0
195  visual =~      x3     1 est.std.nox 0.515 0.515     0
196 textual =~      x4     1 est.std.nox 0.823 0.823     0
197 textual =~      x5     1 est.std.nox 0.856 0.856     0
198 textual =~      x6     1 est.std.nox 0.838 0.838     0
199   speed =~      x7     1 est.std.nox 0.547 0.547     0
200   speed =~      x8     1 est.std.nox 0.682 0.682     0
201   speed =~      x9     1 est.std.nox 0.551 0.551     0
202      x1 ~~      x1     1 est.std.nox 0.214 0.214     0
203      x2 ~~      x2     1 est.std.nox 0.887 0.887     0
204      x3 ~~      x3     1 est.std.nox 0.735 0.735     0
205      x4 ~~      x4     1 est.std.nox 0.322 0.322     0
206      x5 ~~      x5     1 est.std.nox 0.267 0.267     0
207      x6 ~~      x6     1 est.std.nox 0.297 0.297     0
208      x7 ~~      x7     1 est.std.nox 0.701 0.701     0
209      x8 ~~      x8     1 est.std.nox 0.535 0.535     0
210      x9 ~~      x9     1 est.std.nox 0.696 0.696     0
211  visual ~~  visual     1 est.std.nox 1.000 1.000     0
212 textual ~~ textual     1 est.std.nox 1.000 1.000     0
213   speed ~~   speed     1 est.std.nox 1.000 1.000     0
214  visual ~~ textual     1 est.std.nox 0.484 0.484     0
215  visual ~~   speed     1 est.std.nox 0.299 0.299     0
216 textual ~~   speed     1 est.std.nox 0.325 0.325     0
217  visual =~      x1     2 est.std.nox 0.677 0.677     0
218  visual =~      x2     2 est.std.nox 0.517 0.517     0
219  visual =~      x3     2 est.std.nox 0.694 0.694     0
220 textual =~      x4     2 est.std.nox 0.866 0.866     0
221 textual =~      x5     2 est.std.nox 0.829 0.829     0
222 textual =~      x6     2 est.std.nox 0.826 0.826     0
223   speed =~      x7     2 est.std.nox 0.659 0.659     0
224   speed =~      x8     2 est.std.nox 0.796 0.796     0
225   speed =~      x9     2 est.std.nox 0.701 0.701     0
226      x1 ~~      x1     2 est.std.nox 0.542 0.542     0
227      x2 ~~      x2     2 est.std.nox 0.733 0.733     0
228      x3 ~~      x3     2 est.std.nox 0.519 0.519     0
229      x4 ~~      x4     2 est.std.nox 0.251 0.251     0
230      x5 ~~      x5     2 est.std.nox 0.312 0.312     0
231      x6 ~~      x6     2 est.std.nox 0.317 0.317     0
232      x7 ~~      x7     2 est.std.nox 0.566 0.566     0
233      x8 ~~      x8     2 est.std.nox 0.367 0.367     0
234      x9 ~~      x9     2 est.std.nox 0.509 0.509     0
235  visual ~~  visual     2 est.std.nox 1.000 1.000     0
236 textual ~~ textual     2 est.std.nox 1.000 1.000     0
237   speed ~~   speed     2 est.std.nox 1.000 1.000     0
238  visual ~~ textual     2 est.std.nox 0.541 0.541     0
239  visual ~~   speed     2 est.std.nox 0.523 0.523     0
240 textual ~~   speed     2 est.std.nox 0.336 0.336     0

                     fit       lav       mpl delta
1                   npar    42.000    42.000     0
2                   fmin     0.192        NA    NA
3                  chisq   115.851   115.851     0
4                     df    48.000    48.000     0
5                 pvalue     0.000     0.000     0
6         baseline.chisq   957.769   957.769     0
7            baseline.df    72.000    72.000     0
8        baseline.pvalue     0.000     0.000     0
9                    cfi     0.923     0.923     0
10                   tli     0.885     0.885     0
11                  nnfi     0.885        NA    NA
12                   rfi     0.819        NA    NA
13                   nfi     0.879        NA    NA
14                  pnfi     0.586        NA    NA
15                   ifi     0.925        NA    NA
16                   rni     0.923        NA    NA
17                  logl -3682.198 -3682.198     0
18     unrestricted.logl -3624.272 -3624.272     0
19                   aic  7448.395  7448.395     0
20                   bic  7604.094  7604.094     0
21                  bic2  7470.894  7470.894     0
22                 rmsea     0.097     0.097     0
23        rmsea.ci.lower     0.075     0.075     0
24        rmsea.ci.upper     0.120     0.120     0
25        rmsea.ci.level     0.900        NA    NA
26          rmsea.pvalue     0.001     0.001     0
27        rmsea.close.h0     0.050        NA    NA
28 rmsea.notclose.pvalue     0.897        NA    NA
29     rmsea.notclose.h0     0.080        NA    NA
30                   rmr     0.091        NA    NA
31            rmr_nomean     0.091        NA    NA
32                  srmr     0.074     0.074     0
33          srmr_bentler     0.074        NA    NA
34   srmr_bentler_nomean     0.074        NA    NA
35                  crmr     0.083        NA    NA
36           crmr_nomean     0.083        NA    NA
37            srmr_mplus     0.074        NA    NA
38     srmr_mplus_nomean     0.074        NA    NA
39                 cn_05   170.324        NA    NA
40                 cn_01   192.439        NA    NA
41                   gfi     0.925        NA    NA
42                  agfi     0.859        NA    NA
43                  pgfi     0.493        NA    NA
44                   mfi     0.893        NA    NA
45                  ecvi     0.664        NA    NA
