# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Sat Jan 20 20:49:19 2024 
# file:  HS.multi.nomean.WLS.out 

        lhs op     rhs group        type   lav   mpl  delta
240 textual ~~   speed     2 est.std.nox 0.608 0.608  0.000

                     fit     lav     mpl  delta
1                   npar  42.000  42.000  0.000
2                   fmin   0.194      NA     NA
3                  chisq 116.654 107.376  9.278
4                     df  48.000  48.000  0.000
5                 pvalue   0.000   0.000  0.000
6         baseline.chisq 476.057 413.892 62.165
7            baseline.df  72.000  72.000  0.000
8        baseline.pvalue   0.000   0.000  0.000
9                    cfi   0.830   0.826  0.004
10                   tli   0.745   0.739  0.006
11                  nnfi   0.745      NA     NA
12                   rfi   0.632      NA     NA
13                   nfi   0.755      NA     NA
14                  pnfi   0.503      NA     NA
15                   ifi   0.840      NA     NA
16                   rni   0.830      NA     NA
17                 rmsea   0.098   0.091  0.007
18        rmsea.ci.lower   0.075   0.068  0.007
19        rmsea.ci.upper   0.121   0.114  0.007
20        rmsea.ci.level   0.900      NA     NA
21          rmsea.pvalue   0.000   0.003 -0.003
22        rmsea.close.h0   0.050      NA     NA
23 rmsea.notclose.pvalue   0.907      NA     NA
24     rmsea.notclose.h0   0.080      NA     NA
25                   rmr   0.154      NA     NA
26            rmr_nomean   0.154      NA     NA
27          srmr_bentler   0.122      NA     NA
28   srmr_bentler_nomean   0.122      NA     NA
29                  crmr   0.130      NA     NA
30           crmr_nomean   0.130      NA     NA
31            srmr_mplus   0.132      NA     NA
32     srmr_mplus_nomean   0.132      NA     NA
33                 cn_05 168.041      NA     NA
34                 cn_01 189.858      NA     NA
35                   gfi   0.948      NA     NA
36                  agfi   0.903      NA     NA
37                  pgfi   0.506      NA     NA
38                   mfi   0.892      NA     NA
39                  ecvi   0.671      NA     NA
